agency_cd,site_no,datetime,tz_cd,177234_00065,177234_00065_cd
USGS,02169500,2019-03-02 11:00,EST,6.04,P
USGS,02169500,2019-03-02 11:15,EST,5.93,P
USGS,02169500,2019-03-02 11:30,EST,5.84,P
USGS,02169500,2019-03-02 11:45,EST,5.75,P
USGS,02169500,2019-03-02 12:00,EST,5.68,P
USGS,02169500,2019-03-02 12:15,EST,5.62,P
USGS,02169500,2019-03-02 12:30,EST,5.58,P
USGS,02169500,2019-03-02 12:45,EST,5.55,P
USGS,02169500,2019-03-02 13:00,EST,5.55,P
USGS,02169500,2019-03-02 13:15,EST,5.55,P
USGS,02169500,2019-03-02 13:30,EST,5.58,P
USGS,02169500,2019-03-02 13:45,EST,5.64,P
USGS,02169500,2019-03-02 14:00,EST,5.72,P
USGS,02169500,2019-03-02 14:15,EST,5.82,P
USGS,02169500,2019-03-02 14:30,EST,5.95,P
USGS,02169500,2019-03-02 14:45,EST,6.10,P
USGS,02169500,2019-03-02 15:00,EST,6.25,P
USGS,02169500,2019-03-02 15:15,EST,6.41,P
USGS,02169500,2019-03-02 15:30,EST,6.57,P
USGS,02169500,2019-03-02 15:45,EST,6.71,P
USGS,02169500,2019-03-02 16:00,EST,6.84,P
USGS,02169500,2019-03-02 16:15,EST,6.97,P
USGS,02169500,2019-03-02 16:30,EST,7.08,P
USGS,02169500,2019-03-02 16:45,EST,7.18,P
USGS,02169500,2019-03-02 17:00,EST,7.27,P
USGS,02169500,2019-03-02 17:15,EST,7.34,P
USGS,02169500,2019-03-02 17:30,EST,7.41,P
USGS,02169500,2019-03-02 17:45,EST,7.45,P
USGS,02169500,2019-03-02 18:00,EST,7.49,P
USGS,02169500,2019-03-02 18:15,EST,7.53,P
USGS,02169500,2019-03-02 18:30,EST,7.55,P
USGS,02169500,2019-03-02 18:45,EST,7.57,P
USGS,02169500,2019-03-02 19:00,EST,7.59,P
USGS,02169500,2019-03-02 19:15,EST,7.60,P
USGS,02169500,2019-03-02 19:30,EST,7.61,P
USGS,02169500,2019-03-02 19:45,EST,7.61,P
USGS,02169500,2019-03-02 20:00,EST,7.62,P
USGS,02169500,2019-03-02 20:15,EST,7.63,P
USGS,02169500,2019-03-02 20:30,EST,7.64,P
USGS,02169500,2019-03-02 20:45,EST,7.66,P
USGS,02169500,2019-03-02 21:00,EST,7.68,P
USGS,02169500,2019-03-02 21:15,EST,7.72,P
USGS,02169500,2019-03-02 21:30,EST,7.76,P
USGS,02169500,2019-03-02 21:45,EST,7.81,P
USGS,02169500,2019-03-02 22:00,EST,7.88,P
USGS,02169500,2019-03-02 22:15,EST,7.97,P
USGS,02169500,2019-03-02 22:30,EST,8.07,P
USGS,02169500,2019-03-02 22:45,EST,8.17,P
USGS,02169500,2019-03-02 23:00,EST,8.30,P
USGS,02169500,2019-03-02 23:15,EST,8.43,P
USGS,02169500,2019-03-02 23:30,EST,8.57,P
USGS,02169500,2019-03-02 23:45,EST,8.73,P
USGS,02169500,2019-03-03 00:00,EST,8.89,P
USGS,02169500,2019-03-03 00:15,EST,9.05,P
USGS,02169500,2019-03-03 00:30,EST,9.23,P
USGS,02169500,2019-03-03 00:45,EST,9.40,P
USGS,02169500,2019-03-03 01:00,EST,9.57,P
USGS,02169500,2019-03-03 01:15,EST,9.73,P
USGS,02169500,2019-03-03 01:30,EST,9.88,P
USGS,02169500,2019-03-03 01:45,EST,10.02,P
USGS,02169500,2019-03-03 02:00,EST,10.15,P
USGS,02169500,2019-03-03 02:15,EST,10.27,P
USGS,02169500,2019-03-03 02:30,EST,10.37,P
USGS,02169500,2019-03-03 02:45,EST,10.46,P
USGS,02169500,2019-03-03 03:00,EST,10.52,P
USGS,02169500,2019-03-03 03:15,EST,10.58,P
USGS,02169500,2019-03-03 03:30,EST,10.61,P
USGS,02169500,2019-03-03 03:45,EST,10.63,P
USGS,02169500,2019-03-03 04:00,EST,10.64,P
USGS,02169500,2019-03-03 04:15,EST,10.63,P
USGS,02169500,2019-03-03 04:30,EST,10.60,P
USGS,02169500,2019-03-03 04:45,EST,10.56,P
USGS,02169500,2019-03-03 05:00,EST,10.51,P
USGS,02169500,2019-03-03 05:15,EST,10.43,P
USGS,02169500,2019-03-03 05:30,EST,10.35,P
USGS,02169500,2019-03-03 05:45,EST,10.25,P
USGS,02169500,2019-03-03 06:00,EST,10.14,P
USGS,02169500,2019-03-03 06:15,EST,10.03,P
USGS,02169500,2019-03-03 06:30,EST,9.91,P
USGS,02169500,2019-03-03 06:45,EST,9.78,P
USGS,02169500,2019-03-03 07:00,EST,9.65,P
USGS,02169500,2019-03-03 07:15,EST,9.51,P
USGS,02169500,2019-03-03 07:30,EST,9.36,P
USGS,02169500,2019-03-03 07:45,EST,9.20,P
USGS,02169500,2019-03-03 08:00,EST,9.05,P
USGS,02169500,2019-03-03 08:15,EST,8.89,P
USGS,02169500,2019-03-03 08:30,EST,8.73,P
USGS,02169500,2019-03-03 08:45,EST,8.57,P
USGS,02169500,2019-03-03 09:00,EST,8.40,P
USGS,02169500,2019-03-03 09:15,EST,8.24,P
USGS,02169500,2019-03-03 09:30,EST,8.08,P
USGS,02169500,2019-03-03 09:45,EST,7.92,P
USGS,02169500,2019-03-03 10:00,EST,7.77,P
USGS,02169500,2019-03-03 10:15,EST,7.62,P
USGS,02169500,2019-03-03 10:30,EST,7.47,P
USGS,02169500,2019-03-03 10:45,EST,7.34,P
USGS,02169500,2019-03-03 11:00,EST,7.21,P
USGS,02169500,2019-03-03 11:15,EST,7.10,P
USGS,02169500,2019-03-03 11:30,EST,6.99,P
USGS,02169500,2019-03-03 11:45,EST,6.91,P
USGS,02169500,2019-03-03 12:00,EST,6.84,P
USGS,02169500,2019-03-03 12:15,EST,6.78,P
USGS,02169500,2019-03-03 12:30,EST,6.75,P
USGS,02169500,2019-03-03 12:45,EST,6.73,P
USGS,02169500,2019-03-03 13:00,EST,6.73,P
USGS,02169500,2019-03-03 13:15,EST,6.75,P
USGS,02169500,2019-03-03 13:30,EST,6.78,P
USGS,02169500,2019-03-03 13:45,EST,6.83,P
USGS,02169500,2019-03-03 14:00,EST,6.90,P
USGS,02169500,2019-03-03 14:15,EST,6.98,P
USGS,02169500,2019-03-03 14:30,EST,7.07,P
USGS,02169500,2019-03-03 14:45,EST,7.17,P
USGS,02169500,2019-03-03 15:00,EST,7.28,P
USGS,02169500,2019-03-03 15:15,EST,7.39,P
USGS,02169500,2019-03-03 15:30,EST,7.51,P
USGS,02169500,2019-03-03 15:45,EST,7.62,P
USGS,02169500,2019-03-03 16:00,EST,7.74,P
USGS,02169500,2019-03-03 16:15,EST,7.85,P
USGS,02169500,2019-03-03 16:30,EST,7.97,P
USGS,02169500,2019-03-03 16:45,EST,8.07,P
USGS,02169500,2019-03-03 17:00,EST,8.17,P
USGS,02169500,2019-03-03 17:15,EST,8.28,P
USGS,02169500,2019-03-03 17:30,EST,8.38,P
USGS,02169500,2019-03-03 17:45,EST,8.48,P
USGS,02169500,2019-03-03 18:00,EST,8.60,P
USGS,02169500,2019-03-03 18:15,EST,8.71,P
USGS,02169500,2019-03-03 18:30,EST,8.82,P
USGS,02169500,2019-03-03 18:45,EST,8.95,P
USGS,02169500,2019-03-03 19:00,EST,9.13,P
USGS,02169500,2019-03-03 19:15,EST,9.28,P
USGS,02169500,2019-03-03 19:30,EST,9.42,P
USGS,02169500,2019-03-03 19:45,EST,9.60,P
USGS,02169500,2019-03-03 20:00,EST,9.75,P
USGS,02169500,2019-03-03 20:15,EST,9.89,P
USGS,02169500,2019-03-03 20:30,EST,10.03,P
USGS,02169500,2019-03-03 20:45,EST,10.19,P
USGS,02169500,2019-03-03 21:00,EST,10.34,P
USGS,02169500,2019-03-03 21:15,EST,10.48,P
USGS,02169500,2019-03-03 21:30,EST,10.62,P
USGS,02169500,2019-03-03 21:45,EST,10.76,P
USGS,02169500,2019-03-03 22:00,EST,10.89,P
USGS,02169500,2019-03-03 22:15,EST,11.04,P
USGS,02169500,2019-03-03 22:30,EST,11.19,P
USGS,02169500,2019-03-03 22:45,EST,11.34,P
USGS,02169500,2019-03-03 23:00,EST,11.51,P
USGS,02169500,2019-03-03 23:15,EST,11.67,P
USGS,02169500,2019-03-03 23:30,EST,11.83,P
USGS,02169500,2019-03-03 23:45,EST,11.98,P
USGS,02169500,2019-03-04 00:00,EST,12.12,P
USGS,02169500,2019-03-04 00:15,EST,12.25,P
USGS,02169500,2019-03-04 00:30,EST,12.35,P
USGS,02169500,2019-03-04 00:45,EST,12.44,P
USGS,02169500,2019-03-04 01:00,EST,12.51,P
USGS,02169500,2019-03-04 01:15,EST,12.57,P
USGS,02169500,2019-03-04 01:30,EST,12.60,P
USGS,02169500,2019-03-04 01:45,EST,12.63,P
USGS,02169500,2019-03-04 02:00,EST,12.65,P
USGS,02169500,2019-03-04 02:15,EST,12.66,P
USGS,02169500,2019-03-04 02:30,EST,12.65,P
USGS,02169500,2019-03-04 02:45,EST,12.63,P
USGS,02169500,2019-03-04 03:00,EST,12.61,P
USGS,02169500,2019-03-04 03:15,EST,12.57,P
USGS,02169500,2019-03-04 03:30,EST,12.53,P
USGS,02169500,2019-03-04 03:45,EST,12.48,P
USGS,02169500,2019-03-04 04:00,EST,12.43,P
USGS,02169500,2019-03-04 04:15,EST,12.38,P
USGS,02169500,2019-03-04 04:30,EST,12.31,P
USGS,02169500,2019-03-04 04:45,EST,12.25,P
USGS,02169500,2019-03-04 05:00,EST,12.17,P
USGS,02169500,2019-03-04 05:15,EST,12.10,P
USGS,02169500,2019-03-04 05:30,EST,12.01,P
USGS,02169500,2019-03-04 05:45,EST,11.92,P
USGS,02169500,2019-03-04 06:00,EST,11.83,P
USGS,02169500,2019-03-04 06:15,EST,11.72,P
USGS,02169500,2019-03-04 06:30,EST,11.61,P
USGS,02169500,2019-03-04 06:45,EST,11.49,P
USGS,02169500,2019-03-04 07:00,EST,11.37,P
USGS,02169500,2019-03-04 07:15,EST,11.25,P
USGS,02169500,2019-03-04 07:30,EST,11.13,P
USGS,02169500,2019-03-04 07:45,EST,11.00,P
USGS,02169500,2019-03-04 08:00,EST,10.87,P
USGS,02169500,2019-03-04 08:15,EST,10.74,P
USGS,02169500,2019-03-04 08:30,EST,10.62,P
USGS,02169500,2019-03-04 08:45,EST,10.50,P
USGS,02169500,2019-03-04 09:00,EST,10.39,P
USGS,02169500,2019-03-04 09:15,EST,10.28,P
USGS,02169500,2019-03-04 09:30,EST,10.18,P
USGS,02169500,2019-03-04 09:45,EST,10.09,P
USGS,02169500,2019-03-04 10:00,EST,10.02,P
USGS,02169500,2019-03-04 10:15,EST,9.96,P
USGS,02169500,2019-03-04 10:30,EST,9.93,P
USGS,02169500,2019-03-04 10:45,EST,9.92,P
USGS,02169500,2019-03-04 11:00,EST,9.94,P
USGS,02169500,2019-03-04 11:15,EST,10.00,P
USGS,02169500,2019-03-04 11:30,EST,10.09,P
USGS,02169500,2019-03-04 11:45,EST,10.19,P
USGS,02169500,2019-03-04 12:00,EST,10.32,P
USGS,02169500,2019-03-04 12:15,EST,10.46,P
USGS,02169500,2019-03-04 12:30,EST,10.60,P
USGS,02169500,2019-03-04 12:45,EST,10.75,P
USGS,02169500,2019-03-04 13:00,EST,10.89,P
USGS,02169500,2019-03-04 13:15,EST,11.02,P
USGS,02169500,2019-03-04 13:30,EST,11.15,P
USGS,02169500,2019-03-04 13:45,EST,11.26,P
USGS,02169500,2019-03-04 14:00,EST,11.36,P
USGS,02169500,2019-03-04 14:15,EST,11.45,P
USGS,02169500,2019-03-04 14:30,EST,11.52,P
USGS,02169500,2019-03-04 14:45,EST,11.58,P
USGS,02169500,2019-03-04 15:00,EST,11.64,P
USGS,02169500,2019-03-04 15:15,EST,11.68,P
USGS,02169500,2019-03-04 15:30,EST,11.72,P
USGS,02169500,2019-03-04 15:45,EST,11.75,P
USGS,02169500,2019-03-04 16:00,EST,11.77,P
USGS,02169500,2019-03-04 16:15,EST,11.80,P
USGS,02169500,2019-03-04 16:30,EST,11.83,P
USGS,02169500,2019-03-04 16:45,EST,11.86,P
USGS,02169500,2019-03-04 17:00,EST,11.89,P
USGS,02169500,2019-03-04 17:15,EST,11.92,P
USGS,02169500,2019-03-04 17:30,EST,11.94,P
USGS,02169500,2019-03-04 17:45,EST,11.96,P
USGS,02169500,2019-03-04 18:00,EST,11.98,P
USGS,02169500,2019-03-04 18:15,EST,12.00,P
USGS,02169500,2019-03-04 18:30,EST,12.00,P
USGS,02169500,2019-03-04 18:45,EST,12.01,P
USGS,02169500,2019-03-04 19:00,EST,12.01,P
USGS,02169500,2019-03-04 19:15,EST,12.01,P
USGS,02169500,2019-03-04 19:30,EST,12.00,P
USGS,02169500,2019-03-04 19:45,EST,12.00,P
USGS,02169500,2019-03-04 20:00,EST,11.99,P
USGS,02169500,2019-03-04 20:15,EST,11.98,P
USGS,02169500,2019-03-04 20:30,EST,11.97,P
USGS,02169500,2019-03-04 20:45,EST,11.96,P
USGS,02169500,2019-03-04 21:00,EST,11.95,P
USGS,02169500,2019-03-04 21:15,EST,11.94,P
USGS,02169500,2019-03-04 21:30,EST,11.93,P
USGS,02169500,2019-03-04 21:45,EST,11.93,P
USGS,02169500,2019-03-04 22:00,EST,11.92,P
USGS,02169500,2019-03-04 22:15,EST,11.91,P
USGS,02169500,2019-03-04 22:30,EST,11.91,P
USGS,02169500,2019-03-04 22:45,EST,11.91,P
USGS,02169500,2019-03-04 23:00,EST,11.92,P
USGS,02169500,2019-03-04 23:15,EST,11.94,P
USGS,02169500,2019-03-04 23:30,EST,11.96,P
USGS,02169500,2019-03-04 23:45,EST,11.98,P
USGS,02169500,2019-03-05 00:00,EST,12.01,P
USGS,02169500,2019-03-05 00:15,EST,12.05,P
USGS,02169500,2019-03-05 00:30,EST,12.09,P
USGS,02169500,2019-03-05 00:45,EST,12.12,P
USGS,02169500,2019-03-05 01:00,EST,12.15,P
USGS,02169500,2019-03-05 01:15,EST,12.19,P
USGS,02169500,2019-03-05 01:30,EST,12.21,P
USGS,02169500,2019-03-05 01:45,EST,12.24,P
USGS,02169500,2019-03-05 02:00,EST,12.26,P
USGS,02169500,2019-03-05 02:15,EST,12.28,P
USGS,02169500,2019-03-05 02:30,EST,12.29,P
USGS,02169500,2019-03-05 02:45,EST,12.30,P
USGS,02169500,2019-03-05 03:00,EST,12.31,P
USGS,02169500,2019-03-05 03:15,EST,12.31,P
USGS,02169500,2019-03-05 03:30,EST,12.31,P
USGS,02169500,2019-03-05 03:45,EST,12.31,P
USGS,02169500,2019-03-05 04:00,EST,12.30,P
USGS,02169500,2019-03-05 04:15,EST,12.29,P
USGS,02169500,2019-03-05 04:30,EST,12.27,P
USGS,02169500,2019-03-05 04:45,EST,12.25,P
USGS,02169500,2019-03-05 05:00,EST,12.22,P
USGS,02169500,2019-03-05 05:15,EST,12.18,P
USGS,02169500,2019-03-05 05:30,EST,12.15,P
USGS,02169500,2019-03-05 05:45,EST,12.10,P
USGS,02169500,2019-03-05 06:00,EST,12.05,P
USGS,02169500,2019-03-05 06:15,EST,12.00,P
USGS,02169500,2019-03-05 06:30,EST,11.95,P
USGS,02169500,2019-03-05 06:45,EST,11.89,P
USGS,02169500,2019-03-05 07:00,EST,11.84,P
USGS,02169500,2019-03-05 07:15,EST,11.78,P
USGS,02169500,2019-03-05 07:30,EST,11.72,P
USGS,02169500,2019-03-05 07:45,EST,11.66,P
USGS,02169500,2019-03-05 08:00,EST,11.60,P
USGS,02169500,2019-03-05 08:15,EST,11.54,P
USGS,02169500,2019-03-05 08:30,EST,11.49,P
USGS,02169500,2019-03-05 08:45,EST,11.43,P
USGS,02169500,2019-03-05 09:00,EST,11.38,P
USGS,02169500,2019-03-05 09:15,EST,11.33,P
USGS,02169500,2019-03-05 09:30,EST,11.29,P
USGS,02169500,2019-03-05 09:45,EST,11.25,P
USGS,02169500,2019-03-05 10:00,EST,11.22,P
USGS,02169500,2019-03-05 10:15,EST,11.19,P
USGS,02169500,2019-03-05 10:30,EST,11.17,P
USGS,02169500,2019-03-05 10:45,EST,11.17,P
USGS,02169500,2019-03-05 11:00,EST,11.18,P
USGS,02169500,2019-03-05 11:15,EST,11.19,P
USGS,02169500,2019-03-05 11:30,EST,11.21,P
USGS,02169500,2019-03-05 11:45,EST,11.24,P
USGS,02169500,2019-03-05 12:00,EST,11.28,P
USGS,02169500,2019-03-05 12:15,EST,11.32,P
USGS,02169500,2019-03-05 12:30,EST,11.36,P
USGS,02169500,2019-03-05 12:45,EST,11.41,P
USGS,02169500,2019-03-05 13:00,EST,11.47,P
USGS,02169500,2019-03-05 13:15,EST,11.53,P
USGS,02169500,2019-03-05 13:30,EST,11.60,P
USGS,02169500,2019-03-05 13:45,EST,11.66,P
USGS,02169500,2019-03-05 14:00,EST,11.73,P
USGS,02169500,2019-03-05 14:15,EST,11.80,P
USGS,02169500,2019-03-05 14:30,EST,11.86,P
USGS,02169500,2019-03-05 14:45,EST,11.92,P
USGS,02169500,2019-03-05 15:00,EST,11.98,P
USGS,02169500,2019-03-05 15:15,EST,12.02,P
USGS,02169500,2019-03-05 15:30,EST,12.06,P
USGS,02169500,2019-03-05 15:45,EST,12.10,P
USGS,02169500,2019-03-05 16:00,EST,12.12,P
USGS,02169500,2019-03-05 16:15,EST,12.14,P
USGS,02169500,2019-03-05 16:30,EST,12.15,P
USGS,02169500,2019-03-05 16:45,EST,12.16,P
USGS,02169500,2019-03-05 17:00,EST,12.15,P
USGS,02169500,2019-03-05 17:15,EST,12.14,P
USGS,02169500,2019-03-05 17:30,EST,12.12,P
USGS,02169500,2019-03-05 17:45,EST,12.09,P
USGS,02169500,2019-03-05 18:00,EST,12.06,P
USGS,02169500,2019-03-05 18:15,EST,12.02,P
USGS,02169500,2019-03-05 18:30,EST,11.98,P
USGS,02169500,2019-03-05 18:45,EST,11.93,P
USGS,02169500,2019-03-05 19:00,EST,11.88,P
USGS,02169500,2019-03-05 19:15,EST,11.82,P
USGS,02169500,2019-03-05 19:30,EST,11.76,P
USGS,02169500,2019-03-05 19:45,EST,11.71,P
USGS,02169500,2019-03-05 20:00,EST,11.65,P
USGS,02169500,2019-03-05 20:15,EST,11.59,P
USGS,02169500,2019-03-05 20:30,EST,11.53,P
USGS,02169500,2019-03-05 20:45,EST,11.47,P
USGS,02169500,2019-03-05 21:00,EST,11.41,P
USGS,02169500,2019-03-05 21:15,EST,11.35,P
USGS,02169500,2019-03-05 21:30,EST,11.29,P
USGS,02169500,2019-03-05 21:45,EST,11.23,P
USGS,02169500,2019-03-05 22:00,EST,11.17,P
USGS,02169500,2019-03-05 22:15,EST,11.12,P
USGS,02169500,2019-03-05 22:30,EST,11.06,P
USGS,02169500,2019-03-05 22:45,EST,11.01,P
USGS,02169500,2019-03-05 23:00,EST,10.97,P
USGS,02169500,2019-03-05 23:15,EST,10.92,P
USGS,02169500,2019-03-05 23:30,EST,10.89,P
USGS,02169500,2019-03-05 23:45,EST,10.87,P
