,Tweets,date,source,likes,retweet,image_url,sentiment
54,Flooding continues from # Michael. NEVER drive or walk into floodwaters. Turn Around Don’t Drown! http://weather.gov/safety/flood-turn-around-dont-drown …pic.twitter.com/9C9NNZUKZe,2018-10-11 08:50:44,https://twitter.com/NWS/status/1050368098669391872,83,79,https://pbs.twimg.com/media/DpOoIc7V4AIIIZ5.png,0
55,Next Facebook Live update on # Michael from NHC Director Ken Graham at 8:30am EDThttps://twitter.com/NHC_Atlantic/status/1050345540268019713 …,2018-10-11 07:27:24,https://twitter.com/NWS/status/1050347126981611521,37,23,,1
56,Strong winds overnight tonight across much of southern Georgia will likely result in downed trees. Make sure you and your loved ones are tucked away in a safe spot for the night. # Michaelpic.twitter.com/ZyJyhZbwRh,2018-10-10 22:44:23,https://twitter.com/NWS/status/1050215508333748224,143,103,https://pbs.twimg.com/media/DpMdMaCUwAIs2rt.jpg,1
57,Proud to be a small piece of this preparedness and response puzzle and honored to work with men and women who are out there trying to save lives.https://twitter.com/SenRickScott/status/1050193542704967681 …,2018-10-10 22:19:50,https://twitter.com/NWS/status/1050209326814642176,112,22,,1
58,"Michael isn't the only show in town. Freezing temps in the Plains and Northwestern US, snow in the northern portions of the Midwest, and ongoing flooding in portions of the central US. What's happening where you are? Check http://weather.gov .pic.twitter.com/m6GrbwQ7BC",2018-10-10 20:47:30,https://twitter.com/NWS/status/1050186093201625088,88,56,https://pbs.twimg.com/media/DpMCovZU4AAH8L9.jpg,0
59,"For some of you, the storm has passed. What’s Next? Don’t venture out. Water & power lines don’t go well together; especially in the dark Let first responders do their work. Stay sheltered & off the roads Text rather than call family & friends to let them know you are safe",2018-10-10 20:35:01,https://twitter.com/NWS/status/1050182950988464133,1147,533,,1
60,"Don't be tempted to get outside and explore the damage done by # Michael. Winds might be calming down and the rain stopping, but significant danger remains. Downed power lines can kill. # WeatherReadypic.twitter.com/PcYtwdNF8L",2018-10-10 18:40:07,https://twitter.com/NWS/status/1050154033401528321,145,127,https://pbs.twimg.com/media/DpLlO34UUAA9tTh.jpg,1
61,"As # Michael moves farther inland into Georgia and areas less familiar with extreme winds, trees become a clear and present danger. Minimize your risk in single story homes by staying in interior rooms AWAY FROM LARGE TREES and overhanging branches. # flwx # alwx # gawx # scwxpic.twitter.com/O1xlN217en",2018-10-10 17:40:50,https://twitter.com/NWS/status/1050139114237030400,288,204,https://pbs.twimg.com/media/DpLXLGrUUAAR3Ve.jpg,1
62,The latest on # Michael from the National Hurricane Center LIVE NOW: https://www.facebook.com/NWSNHC/videos/2140946266144190/ …https://twitter.com/NHC_Atlantic/status/1050133969646379008 …,2018-10-10 17:37:34,https://twitter.com/NWS/status/1050138295299125248,32,22,,1
63,Eye of # Michael is approaching extreme southeastern Alabama and southwest Georgia - (5 PM EDT) update. Saffir-Simpson Wind Scale: Category 3 Maximum Sustained Winds: 125 mph Minimum Central Pressure: 932 mb Movement: North-Northeast at 16 mph http://hurricanes.gov https://twitter.com/NHC_Atlantic/status/1050127845031329793 …,2018-10-10 17:09:39,https://twitter.com/NWS/status/1050131268153856000,84,82,,-1
64,"Radar data indicate that the eye of # Michael is moving inland over portions of Bay & Calhoun counties in the Florida Panhandle. Those in these areas are reminded not to venture out into the relative calm of the eye, as hazardous winds will increase very quickly as the eye passes!https://twitter.com/NWSTallahassee/status/1050097730977173506 …",2018-10-10 15:02:07,https://twitter.com/NWS/status/1050099174698573826,123,79,,1
65,LIVE NOW: https://www.facebook.com/NWSNHC/videos/2203187556620597/ …https://twitter.com/NHC_Atlantic/status/1050089077004034049 …,2018-10-10 14:55:11,https://twitter.com/NWS/status/1050097429079560197,34,26,,1
66,This is roughly equivalent to a 3-hr long tornado warning. Immediately get to shelter or interior room!https://twitter.com/NWSTallahassee/status/1050073549921234944 …,2018-10-10 13:31:26,https://twitter.com/NWS/status/1050076350701326337,262,269,,-1
67,"Landfall of # HurricaneMichael is imminent. THIS IS A WORST CASE SCENARIO for the Florida Panhandle!! Listen to your local emergency officials. Stay Inside & Survive!"" --NWS Director Dr. Louis Uccellini @ NWSDirectorpic.twitter.com/EMSZbMaHwW",2018-10-10 11:53:44,https://twitter.com/NWS/status/1050051765914230784,1152,1231,,-1
68,"Didn't evacuate? Take action now to survive # HurricaneMichael. Immediate threats are storm surge, flying projectiles, falling trees. Seek refuge in an interior room away from windows.pic.twitter.com/1IpMwEojJP",2018-10-10 10:55:42,https://twitter.com/NWS/status/1050037161448357888,178,148,https://pbs.twimg.com/media/DpJ4xOjU8AALipn.jpg,1
69,# HurricaneMichael is nearing the Florida Panhandle & will have potentially catastrophic impacts - (8 AM EDT) update. Saffir-Simpson Wind Scale: Category 4 Maximum Sustained Winds: 145 mph Minimum Central Pressure: 933 mb Movement: North at 13 mph http://hurricanes.gov https://twitter.com/NHC_Atlantic/status/1049989432261181440 …,2018-10-10 08:35:18,https://twitter.com/NWS/status/1050001827553533955,134,139,,0
70,# HurricaneMichael is still strengthening and is now explicitly forecast to become a Category 4 hurricane before landfall occurs. This is a life-threatening event for the northeastern part of the Gulf Coast. http://hurricanes.gov pic.twitter.com/n1uLN0WQoa,2018-10-09 23:36:13,https://twitter.com/NWS/status/1049866165135298560,239,292,https://pbs.twimg.com/media/DpHb4YLUYAEJM-Z.jpg,0
71,Meanwhile...while we wait for the latest update on # HurricaneMichael...we see a large area of winter-like weather ongoing from Montana to the Northern Plains! # mtwx # wywx # newx # sdwx # ndwx http://weather.gov https://twitter.com/NWSMissoula/status/1049853067846402049 …,2018-10-09 22:57:06,https://twitter.com/NWS/status/1049856319530909698,97,56,,1
72,"Our local offices, emergency management partners and media in Florida are urging people in evacuation zones to move inland IMMEDIATELY. # HurricaneMichael is coming and you're running out of time! We need your help to get this message out. @ FLSERT @ fema # FLwxpic.twitter.com/cPUFoeWWJp",2018-10-09 22:25:59,https://twitter.com/NWS/status/1049848487335092224,246,313,https://pbs.twimg.com/media/DpHMFwpUwAA8b3-.jpg,0
73,"Warnings for # HurricaneMichael now extend from the Gulf Coast in Alabama/Florida to South Carolina. Where will you ride out this storm? Vehicles, exterior rooms and top floors of homes are not safe from the wind when there are tall trees nearby. Get inside, protect yourself.pic.twitter.com/1nPf9VgmWM",2018-10-09 21:09:16,https://twitter.com/NWS/status/1049829182765715458,176,158,,1
74,"If you live along the Florida coast between Pensacola and Tampa, THIS is why it's so important to listen to your local/state officials regarding evacuations. The storm surge is expected to reach 9-13 FEET in some areas! Stay tuned to your local media for updates. pic.twitter.com/QAykOFg2c3",2018-10-09 17:45:18,https://twitter.com/NWS/status/1049777853766733825,455,508,https://pbs.twimg.com/media/DpGLfbxU8AA7RnR.jpg,1
75,Hurricane # Michael continues to strengthen and is now a major hurricane with the latest (4 PM CDT) update... Saffir-Simpson Wind Scale: Category 3 Maximum Sustained Winds: 120 mph Minimum Central Pressure: 957 mb Movement: North at 12 mph http://hurricanes.gov pic.twitter.com/DqNw6yyjxN,2018-10-09 17:15:34,https://twitter.com/NWS/status/1049770369509466113,255,295,,1
76,Threat for tornadoes and isolated damaging wind will persist into this evening from west central to northern Missouri through a portion of central and eastern Iowa. http://weather.gov for the latest in your area.pic.twitter.com/ofIxuWXlC2,2018-10-09 16:29:14,https://twitter.com/NWS/status/1049758711160418306,52,22,https://pbs.twimg.com/media/DpF956CXoAAJ_5h.jpg,1
77,"Hurricane # Michael is churning up waters along many beaches across the Gulf - far away from the storm itself - creating dangerous surf conditions, including rip currents. Obey beach closures and check http://weather.gov/beach/ before heading out.pic.twitter.com/sqbt8Dntv4",2018-10-09 16:10:07,https://twitter.com/NWS/status/1049753898494377984,56,45,https://pbs.twimg.com/media/DpF5jheW0AEOlx2.jpg,-1
78,"Heavy rainfall from # Michael could produce life-threatening flash flooding from the Florida Panhandle and Big Bend region, into portions of Georgia and South Carolina. http://www.nhc.noaa.gov for the latest.pic.twitter.com/zj4wUMyOsE",2018-10-09 15:57:42,https://twitter.com/NWS/status/1049750773737783296,579,234,https://pbs.twimg.com/media/DpF2F_yWwAAMwNB.jpg,1
79,"Want more information on # Michael? We have compiled notable forecast links, safety pages, and social media posts on our # HurricaneMichael landing page. https://www.weather.gov/wrn/michael pic.twitter.com/5BHG5FNsfd",2018-10-09 14:09:10,https://twitter.com/NWS/status/1049723461185228803,183,164,https://pbs.twimg.com/media/DpFdkVyU8AAz1MI.jpg,1
80,"Dangerous impacts from # HurricaneMichael will extend FAR from its center. Life-threatening storm surge is expected along more than 325 miles of coastline, and the area of tropical storm force winds currently extend more than 300 miles across. PREPARE NOW. http://weather.gov pic.twitter.com/whdg505Q5G",2018-10-09 13:52:21,https://twitter.com/NWS/status/1049719226448134144,267,337,https://pbs.twimg.com/media/DpFY0ogXcAI1huN.jpg,1
81,"Life-threatening storm surge is likely in the Storm Surge Warning area. Water levels will rise WELL IN ADVANCE OF THE CENTER OF MICHAEL. If you're in the warning area, finish preparations to protect life and property today. http://weather.gov for the latest in your area.pic.twitter.com/cp19XHAUrt",2018-10-09 11:18:58,https://twitter.com/NWS/status/1049680626289389569,83,101,https://pbs.twimg.com/media/DpE1oq5W4AA3X-J.jpg,1
82,"If you are in the hurricane warning: PREPARE NOW. You are quickly running out of time. Tropical storm force winds will arrive this evening, and will continue to increase from there - making any further preparation impossible. http://weather.gov # HurricaneMichaelpic.twitter.com/EvQkNRavHg",2018-10-09 09:43:12,https://twitter.com/NWS/status/1049656529350201344,295,316,https://pbs.twimg.com/media/DpEg74IW4AEdRmq.jpg,-1
83,"Some things to consider, to help communicate the right messages about # Michael: Emphasize the dangers of each hazard Focus on what's important Use the official @ NHC_Atlantic forecast Only share reliable sources Highlight hazards that continue after a storm passespic.twitter.com/Qfn2fYg7mF",2018-10-08 22:35:06,https://twitter.com/NWS/status/1049488393271463937,103,84,https://pbs.twimg.com/media/DpCHOIJU8AA4GaK.jpg,1
84,"Flood Watches extend from the Great Lakes to southeastern TX, and heavy rains overnight will bring flash flooding to many locations. Each year, more deaths occur due to flooding than from any other thunderstorm related hazard. Turn Around, Don't Drown. http://weather.gov pic.twitter.com/BhvkgbgSrm",2018-10-08 22:23:14,https://twitter.com/NWS/status/1049485409363906560,79,54,https://pbs.twimg.com/media/DpCElP4WsAAIK0t.jpg,1
85,"When a hurricane is approaching, many people prepare based on previous experience. But they’re not always right. https://www.weather.gov/news/180409-hurricanes … # HurricaneMichael # Michaelpic.twitter.com/l6GZekbclG",2018-10-08 21:23:15,https://twitter.com/NWS/status/1049470311975014401,275,183,,1
86,"Planning out your Tuesday morning evacuation now, is a good thing. http://weather.gov/hurricanesafety # HurricaneMichael # Michaelpic.twitter.com/jo6S6NCDM9",2018-10-08 21:09:24,https://twitter.com/NWS/status/1049466829503156224,68,67,https://pbs.twimg.com/media/DpBz7B9VsAEtT2I.jpg,1
87,"Now that millions are familiar with the Wireless Emergency Presidential Alert, do you know which National Weather Service warnings are sent through WEA? Hint: Flash Flood, Tornado, and Hurricane Warnings are on the list. https://www.weather.gov/wrn/wea pic.twitter.com/6bpykvZgUh",2018-10-08 20:45:14,https://twitter.com/NWS/status/1049460745887539202,159,116,https://pbs.twimg.com/media/DpBoLHqX4AAyY0s.jpg,1
88,# HurricaneMichael isn't heading to any one town... There are warnings for more than 300 miles of coastline. It's forecast to be a large and dangerous hurricane at landfall. Life-threatening storm surge Damaging winds Life-threatening flash flooding http://weather.gov pic.twitter.com/nsHYkBjy2r,2018-10-08 20:04:48,https://twitter.com/NWS/status/1049450572376657920,849,979,https://pbs.twimg.com/media/DpBlcprXUAArDKo.jpg,1
89,"If you are in # HurricaneMichael's path, you DO NOT HAVE MUCH TIME TO PREPARE. Wind speeds will increase to tropical storm force by tomorrow (Tuesday) evening in the hurricane warning area, and continue to increase - making further preparation impossible. http://weather.gov pic.twitter.com/xTRCekUcYy",2018-10-08 19:15:33,https://twitter.com/NWS/status/1049438176933232640,508,548,https://pbs.twimg.com/media/DpBZgWhX4AAjtJO.jpg,-1
