,site_no,station_nm,dec_lat_va,dec_long_va,huc_cd,tz_cd,flow,flow_unit,flow_dt,stage,stage_unit,stage_dt,class,percentile,percent_median,percent_mean,url
28,2084472,"PAMLICO RIVER AT WASHINGTON, NC",35.5433,-77.0619,3020104,EST,4390,cfs,2006-09-30 23:45:00,1.75,ft,2019-04-16 14:00:00,0,43.31,77.29,63.71,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02084472
29,2084557,"VAN SWAMP NEAR HOKE, NC",35.7308,-76.7461,3020104,EST,35.5,cfs,2019-04-16 14:30:00,1.67,ft,2019-04-16 14:30:00,5,62.24,142.86,87.44,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02084557
30,2085000,"ENO RIVER AT HILLSBOROUGH, NC",36.0711,-79.0956,3020201,EST,459,cfs,2019-04-16 14:45:00,4.12,ft,2019-04-16 14:45:00,7,95.17,850.0,482.19,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02085000
31,2085039,ENO RIVER AT COLE MILL RD NR HUCKLEBERRY SPRING,36.0594,-78.9781,3020201,EST,0,,0000-00-00 00:00:00,3.94,ft,2019-04-16 14:00:00,0,0.0,,,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02085039
32,2085070,"ENO RIVER NEAR DURHAM, NC",36.0722,-78.9078,3020201,EST,541,cfs,2019-04-16 14:15:00,3.67,ft,2019-04-16 14:15:00,6,86.79,528.06,220.63,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02085070
33,2085500,"FLAT RIVER AT BAHAMA, NC",36.1828,-78.8789,3020201,EST,372,cfs,2019-04-16 14:45:00,2.41,ft,2019-04-16 14:45:00,6,82.76,347.66,130.28,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02085500
34,2086500,"FLAT RIVER AT DAM NEAR BAHAMA, NC",36.1486,-78.8289,3020201,EST,471,cfs,2019-04-16 14:45:00,3.03,ft,2019-04-16 14:45:00,6,83.28,242.78,118.95,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02086500
35,2086624,"KNAP OF REEDS CREEK NEAR BUTNER, NC",36.1279,-78.7983,3020201,EST,79.7,cfs,2019-04-16 14:00:00,3.16,ft,2019-04-16 14:00:00,0,66.48,386.89,54.71,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02086624
36,2086849,"ELLERBE CREEK NEAR GORMAN, NC",36.0593,-78.8325,3020201,EST,Bkw,cfs,2019-04-16 14:00:00,4.31,ft,2019-04-16 14:00:00,0,93.42,1937.8,531.15,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02086849
37,2087182,"FALLS LAKE ABOVE DAM NR FALLS, NC",35.9411,-78.5833,3020201,EST,0,,0000-00-00 00:00:00,257.34,ft,2019-04-16 14:00:00,0,0.0,,,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02087182
38,2087183,"NEUSE RIVER NEAR FALLS, NC",35.94,-78.5808,3020201,EST,4550,cfs,2019-04-16 14:15:00,3.97,ft,2019-04-16 14:15:00,7,97.02,1278.09,564.42,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02087183
39,2087275,"CRABTREE CREEK AT HWY 70 AT RALEIGH, NC",35.8381,-78.6742,3020201,EST,620,cfs,2019-04-16 14:00:00,7.92,ft,2019-04-16 14:00:00,0,90.66,874.47,357.14,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02087275
40,2087322,"CRABTREE CR AT OLD WAKE FOREST RD AT RALEIGH, NC",35.8158,-78.6261,3020201,EST,0,,0000-00-00 00:00:00,4.08,ft,2019-04-16 14:00:00,0,0.0,,,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02087322
41,2087324,"CRABTREE CREEK AT US 1 AT RALEIGH, NC",35.8111,-78.6108,3020201,EST,583,cfs,2019-04-16 14:15:00,3.62,ft,2019-04-16 14:15:00,0,91.06,712.71,333.56,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02087324
42,2087337,"WALNUT CREEK AT BUCK JONES ROAD AT RALEIGH, NC",35.7729,-78.737,3020201,EST,0,,0000-00-00 00:00:00,1.1,ft,2019-04-16 14:50:00,0,0.0,,,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02087337
43,2087339,"LAKE JOHNSON ABOVE DAM AT RALEIGH, NC",35.7627,-78.7056,3020201,EST,0,,0000-00-00 00:00:00,343.39,ft,2019-04-16 14:00:00,0,0.0,,,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02087339
44,2087359,"WALNUT CREEK AT SUNNYBROOK DRIVE NR RALEIGH, NC",35.7583,-78.5831,3020201,EST,56.2,cfs,2019-04-16 14:30:00,3.05,ft,2019-04-16 14:30:00,0,80.2,353.46,145.63,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02087359
45,2087500,"NEUSE RIVER NEAR CLAYTON, NC",35.6472,-78.4053,3020201,EST,4470,cfs,2019-04-16 14:15:00,7.73,ft,2019-04-16 14:15:00,7,92.46,453.35,277.79,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02087500
46,2087570,"NEUSE RIVER AT SMITHFIELD, NC",35.5125,-78.3494,3020201,EST,298,cfs,1991-09-30 23:30:00,15.64,ft,2019-04-16 14:15:00,0,6.44,27.59,16.94,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02087570
47,2087580,"SWIFT CREEK NEAR APEX, NC",35.7189,-78.7522,3020201,EST,25.7,cfs,2019-04-16 14:45:00,2.76,ft,2019-04-16 14:45:00,0,70.2,212.4,46.12,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02087580
48,2088000,"MIDDLE CREEK NEAR CLAYTON, NC",35.5708,-78.5906,3020201,EST,393,cfs,2019-04-16 14:00:00,5.47,ft,2019-04-16 14:00:00,7,93.9,549.65,293.33,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02088000
49,2088383,"LITTLE RIVER NEAR ZEBULON, NC",35.8219,-78.3522,3020201,EST,241,cfs,2019-04-16 14:15:00,2.9,ft,2019-04-16 14:15:00,0,88.23,792.76,387.21,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02088383
50,2088500,"LITTLE RIVER NEAR PRINCETON, NC",35.5114,-78.1603,3020201,EST,1860,cfs,2019-04-16 14:30:00,9.24,ft,2019-04-16 14:30:00,8,98.88,1019.18,568.95,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02088500
51,2089000,"NEUSE RIVER NEAR GOLDSBORO, NC",35.3375,-77.9975,3020202,EST,9450,cfs,2019-04-16 14:15:00,17.56,ft,2019-04-16 14:15:00,7,91.62,429.55,273.54,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02089000
52,2089500,"NEUSE RIVER AT KINSTON, NC",35.2578,-77.5856,3020202,EST,6850,cfs,2019-04-16 14:15:00,13.99,ft,2019-04-16 14:15:00,6,81.39,275.1,172.24,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02089500
53,2090380,"CONTENTNEA CREEK NEAR LUCAMA, NC",35.6911,-78.1097,3020203,EST,743,cfs,2019-04-16 14:30:00,6.76,ft,2019-04-16 14:30:00,7,93.66,675.45,319.24,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02090380
54,2091000,"NAHUNTA SWAMP NEAR SHINE, NC",35.4889,-77.8061,3020203,EST,139,cfs,2019-04-16 14:45:00,4.41,ft,2019-04-16 14:45:00,6,76.5,207.15,111.17,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02091000
55,2091500,"CONTENTNEA CREEK AT HOOKERTON, NC",35.4289,-77.5825,3020203,EST,2400,cfs,2019-04-16 13:00:00,13.08,ft,2019-04-16 14:00:00,7,90.07,333.33,220.18,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02091500
56,2091814,"NEUSE RIVER NEAR FORT BARNWELL, NC",35.3139,-77.3028,3020202,EST,9080,cfs,2019-04-16 14:30:00,9.82,ft,2019-04-16 14:30:00,0,83.91,206.83,173.5,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02091814
57,2092500,"TRENT RIVER NEAR TRENTON, NC",35.0642,-77.4614,3020204,EST,147,cfs,2019-04-16 14:45:00,5.73,ft,2019-04-16 14:45:00,5,55.5,128.95,67.63,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02092500
58,2092554,"TRENT R AT POLLOCKSVILLE, NC",35.01,-77.2189,3020204,EST,446,cfs,2008-06-30 23:45:00,1.82,ft,2019-04-16 14:15:00,0,0.0,,,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02092554
59,2093000,"NEW RIVER NEAR GUM BRANCH, NC",34.8492,-77.5194,3030001,EST,162,cfs,2019-04-16 14:45:00,4.94,ft,2019-04-16 14:45:00,6,80.27,209.03,128.71,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02093000
60,2093800,"REEDY FORK NEAR OAK RIDGE, NC",36.1725,-79.9528,3030002,EST,33.2,cfs,2019-04-16 14:30:00,4.69,ft,2019-04-16 14:30:00,6,78.85,161.17,60.08,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02093800
61,2093877,"BRUSH CREEK AT MUIRFIELD RD AT GREENSBORO, NC",36.1281,-79.9239,3030002,EST,11.4,cfs,2019-04-16 14:30:00,2.5,ft,2019-04-16 14:30:00,0,75.59,323.86,105.17,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02093877
62,2094500,"REEDY FORK NEAR GIBSONVILLE, NC",36.1731,-79.6142,3030002,EST,229,cfs,2019-04-16 14:30:00,2.68,ft,2019-04-16 14:30:00,6,80.58,532.56,88.18,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02094500
63,2094659,"SOUTH BUFFALO CREEK NR POMONA, NC",36.0494,-79.8553,3030002,EST,4.84,cfs,2019-04-16 14:30:00,1.16,ft,2019-04-16 14:30:00,0,65.0,144.91,36.42,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02094659
64,2094770,"SOUTH BUFFALO CREEK AT US 220 AT GREENSBORO, NC",36.0381,-79.7997,3030002,EST,6.77,cfs,2019-04-16 14:45:00,2.27,ft,2019-04-16 14:45:00,0,58.15,112.83,26.34,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02094770
65,2094775,"RYAN CREEK BELOW US 220 AT GREENSBORO, NC",36.0311,-79.7961,3030002,EST,2.78,cfs,2019-04-16 14:45:00,1.19,ft,2019-04-16 14:45:00,0,70.76,194.41,59.28,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02094775
66,2095000,"SOUTH BUFFALO CR NEAR GREENSBORO, NC",36.06,-79.7258,3030002,EST,28.6,cfs,2019-04-16 14:30:00,2.98,ft,2019-04-16 14:30:00,5,67.2,146.67,41.23,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02095000
67,2095181,"N BUFFALO CR AT WESTOVER TERRACE AT GREENSBORO, NC",36.0792,-79.8128,3030002,EST,6.98,cfs,2019-04-16 14:30:00,1.04,ft,2019-04-16 14:30:00,0,67.83,173.63,47.23,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02095181
68,2095271,"NORTH BUFFALO CREEK AT CHURCH ST AT GREENSBORO, NC",36.0978,-79.7825,3030002,EST,17,cfs,2019-04-16 14:45:00,2.55,ft,2019-04-16 14:45:00,0,72.16,252.6,74.07,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02095271
69,2095500,"NORTH BUFFALO CREEK NEAR GREENSBORO, NC",36.1206,-79.7081,3030002,EST,26.7,cfs,2019-04-16 14:30:00,2.08,ft,2019-04-16 14:30:00,5,25.29,72.16,25.93,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02095500
70,2096500,"HAW RIVER AT HAW RIVER, NC",36.0872,-79.3661,3030002,EST,1150,cfs,2019-04-16 14:45:00,5.33,ft,2019-04-16 14:45:00,6,78.94,263.16,95.87,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02096500
71,2096846,"CANE CREEK NEAR ORANGE GROVE, NC",35.9872,-79.2061,3030002,EST,Rat,cfs,2019-04-16 14:45:00,1.85,ft,2019-04-16 14:45:00,0,70.46,236.57,82.41,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02096846
72,2096960,"HAW RIVER NEAR BYNUM, NC",35.7653,-79.1358,3030002,EST,3240,cfs,2019-04-16 14:45:00,6.48,ft,2019-04-16 14:45:00,6,80.06,371.56,112.58,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02096960
73,2097280,"THIRD FORK CR AT WOODCROFT PARKWAY NR BLANDS, NC",35.9226,-78.9524,3030002,EST,Rat,cfs,2019-04-16 14:00:00,1.46,ft,2019-04-16 14:00:00,0,81.18,682.46,188.73,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02097280
74,2097314,"NEW HOPE CREEK NEAR BLANDS, NC",35.885,-78.9653,3030002,EST,Bkw,cfs,2019-04-16 14:45:00,13.05,ft,2019-04-16 14:45:00,0,97.22,16393.4,5507.21,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02097314
75,2097464,"MORGAN CREEK NEAR WHITE CROSS, NC",35.9236,-79.115,3030002,EST,15,cfs,2019-04-16 14:45:00,2.94,ft,2019-04-16 14:45:00,0,71.96,301.81,135.14,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02097464
76,2097517,"MORGAN CREEK NEAR CHAPEL HILL, NC",35.8933,-79.0197,3030002,EST,156,cfs,2019-04-16 14:45:00,5.63,ft,2019-04-16 14:45:00,6,89.73,501.61,190.17,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02097517
77,2098197," B. EVERETT JORDAN LAKE AT DAM NR MONCURE, NC",35.6547,-79.0683,3030002,EST,0,,0000-00-00 00:00:00,227.92,ft,2019-04-16 14:00:00,0,0.0,,,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02098197
78,2098206,"HAW RIVER NEAR MONCURE, NC",35.6322,-79.06,3030002,EST,569,cfs,2019-04-16 13:45:00,4.98,ft,2019-04-16 14:45:00,0,23.13,32.24,34.42,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02098206
79,2099000,"EAST FORK DEEP RIVER NEAR HIGH POINT, NC",36.0372,-79.9456,3030003,EST,34.2,cfs,2019-04-16 10:00:00,2.63,ft,2019-04-16 10:00:00,6,80.78,342.0,79.66,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02099000
80,2100500,"DEEP RIVER AT RAMSEUR, NC",35.7264,-79.6556,3030003,EST,944,cfs,2019-04-16 14:45:00,2.98,ft,2019-04-16 14:45:00,6,82.32,345.79,125.4,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02100500
81,2101726,"ROCKY R AT US 64 NEAR SILER CITY, NC",35.7351,-79.4231,3030003,EST,112,cfs,2019-04-16 14:30:00,3.3,ft,2019-04-16 14:30:00,0,72.48,598.93,117.29,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02101726
82,2101800,"TICK CREEK NEAR MOUNT VERNON SPRINGS, NC",35.6597,-79.4017,3030003,EST,24.4,cfs,2019-04-16 14:45:00,2.63,ft,2019-04-16 14:45:00,6,82.58,348.57,136.31,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02101800
83,2102000,"DEEP RIVER AT MONCURE, NC",35.6269,-79.1161,3030003,EST,7770,cfs,2019-04-16 14:45:00,5.51,ft,2019-04-16 14:45:00,7,95.32,719.44,384.1,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02102000
84,2102192,"BUCKHORN CREEK NR CORINTH, NC",35.5597,-78.9736,3030004,EST,234,cfs,2019-04-16 14:30:00,3.81,ft,2019-04-16 14:30:00,6,79.07,835.71,238.07,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02102192
85,2102500,"CAPE FEAR RIVER AT LILLINGTON, NC",35.4061,-78.8133,3030004,EST,13300,cfs,2019-04-16 14:15:00,8.6,ft,2019-04-16 14:15:00,6,87.68,463.41,267.31,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02102500
86,2102908,"FLAT CREEK NEAR INVERNESS, NC",35.1828,-79.1775,3030004,EST,15.1,cfs,2019-04-16 14:45:00,1.07,ft,2019-04-16 14:45:00,5,71.83,137.27,106.49,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02102908
87,2103000,"LITTLE RIVER AT MANCHESTER, NC",35.1933,-78.9856,3030004,EST,1260,cfs,2019-04-16 14:30:00,12.72,ft,2019-04-16 14:30:00,0,88.17,297.87,226.33,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02103000
88,2104000,"CAPE FEAR RIVER AT FAYETTEVILLE, NC",35.0472,-78.8581,3030004,EST,0,,0000-00-00 00:00:00,30.25,ft,2019-04-16 14:00:00,0,0.0,,,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02104000
89,2104220,"ROCKFISH CREEK AT RAEFORD, NC",34.9997,-79.2147,3030004,EST,215,cfs,2019-04-16 14:15:00,6.0,ft,2019-04-16 14:15:00,0,87.78,208.74,175.96,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02104220
90,2105500,"CAPE FEAR R AT WILM O HUSKE LOCK NR TARHEEL, NC",34.8356,-78.8236,3030005,EST,22100,cfs,2019-04-16 14:00:00,15.59,ft,2019-04-16 14:00:00,8,97.3,570.32,376.15,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02105500
91,2105769,"CAPE FEAR R AT LOCK #1 NR KELLY, NC",34.4044,-78.2936,3030005,EST,21200,cfs,2019-04-16 14:45:00,21.01,ft,2019-04-16 14:45:00,7,92.58,438.02,313.12,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02105769
92,2106500,"BLACK RIVER NEAR TOMAHAWK, NC",34.755,-78.2886,3030006,EST,1640,cfs,2019-04-16 14:00:00,10.47,ft,2019-04-16 14:00:00,6,80.34,187.21,150.56,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02106500
93,2108000,"NORTHEAST CAPE FEAR RIVER NEAR CHINQUAPIN, NC",34.8289,-77.8322,3030007,EST,1730,cfs,2019-04-16 14:30:00,9.88,ft,2019-04-16 14:30:00,6,85.29,308.93,193.1,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02108000
94,2108566,"NORTHEAST CAPE FEAR R NR BURGAW, NC",34.5983,-77.8753,3030007,EST,998,cfs,2005-12-12 23:45:00,5.74,ft,2019-04-16 14:30:00,0,33.33,48.21,48.21,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02108566
95,2109500,"WACCAMAW RIVER AT FREELAND, NC",34.095,-78.5483,3040206,EST,1510,cfs,2019-04-16 14:30:00,12.62,ft,2019-04-16 14:30:00,6,79.6,247.14,169.58,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02109500
96,2111000,"YADKIN RIVER AT PATTERSON, NC",35.9908,-81.5583,3040101,EST,116,cfs,2019-04-16 14:45:00,1.75,ft,2019-04-16 14:45:00,6,85.79,205.31,150.71,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02111000
97,2111180,"ELK CREEK AT ELKVILLE, NC",36.0714,-81.4031,3040101,EST,247,cfs,2019-04-16 14:45:00,1.62,ft,2019-04-16 14:45:00,6,84.82,249.49,153.48,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02111180
98,2111391,"W. KERR SCOTT RESERVOIR AT DAM NR WILKESBORO, NC",36.1336,-81.2267,3040101,EST,0,,0000-00-00 00:00:00,31.7,ft,2019-04-16 14:45:00,0,0.0,,,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02111391
99,2111500,"REDDIES RIVER AT NORTH WILKESBORO, NC",36.175,-81.1689,3040101,EST,300,cfs,2019-04-16 14:00:00,2.0,ft,2019-04-16 14:00:00,6,85.15,181.27,144.38,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02111500
100,2112000,"YADKIN RIVER AT WILKESBORO, NC",36.1525,-81.1456,3040101,EST,2880,cfs,2019-04-16 14:45:00,5.15,ft,2019-04-16 14:45:00,7,92.64,324.69,248.11,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02112000
101,2112250,"YADKIN RIVER AT ELKIN, NC",36.2404,-80.8492,3040101,EST,4310,cfs,2019-04-16 14:00:00,6.56,ft,2019-04-16 14:00:00,7,92.83,290.24,234.54,https://waterdata.usgs.gov/nc/nwis/uv?site_no=02112250
